Category ,,,,,,,,,,,
About,,,,,,,,,,,"Based in New Zealand, my background is in painting, and my day job is in art education, with a teaching focus on a foundational approach to linear perspective. While studio drafting can often be a methodical process, photography, like plein air painting, is highly reactive. We’re presented with fleeting windows of changing light and movement, and we must decide what to do with them very quickly. The immediacy is what makes it so exciting to me. 

Because of my formal artistic training, I often compose my photos with painting (and painters) in mind. This comes down to the way I expose, play with colour and tonality, and treat scale and perspective through my experiments of compositing multiple telephoto exposures into a single image.

My inspirations include George Inness, William Trost Richards, John Singer Sargent, Albert Bierstadt and the Hudson River School artists, as well as the large format cinematography of Ron Fricke, and of course, Ansel Adams. 

Peter Henderson"
Category,Region,Sub-Region,Folder ID,Exhibition Title,Native Name,Physical Master,Physical Preview,Variations (Ordered List),Samples (Ordered List),Framing Adjust,Narrative,Image Folder
Landscape,Aotearoa New Zealand,South Island,Milford,MILFORD SOUND,Piopiotahi,Milford_1.webp,Milford_1_1.webp,Milford_8.webp,"Milford_1_Crop_1.webp, Milford_1_Crop_2.webp, Milford_1_Crop_3.webp",0R 0,"Some moments, you just get lucky with the light. I was just heading back to my car after a very overcast morning when the clouds parted for a few fleeting moments, revealing a surreal blue glow between the peaks.",Milford
Landscape,Aotearoa New Zealand,South Island,Milford,MILFORD SOUND,Piopiotahi,Milford_7.webp,Milford_7_1.webp,,,0R 0,,Milford
Landscape,Aotearoa New Zealand,South Island,Milford,MILFORD SOUND,Piopiotahi,Milford_2.webp,Milford_2_1.webp,,,0R 0,,Milford
Landscape,Aotearoa New Zealand,South Island,Milford,MILFORD SOUND,Piopiotahi,Milford_3.webp,Milford_3_1.webp,,,0R 0,,Milford
Landscape,Aotearoa New Zealand,South Island,Milford,MILFORD SOUND,Piopiotahi,Milford_4.webp,Milford_4_1.webp,,,0R 0,,Milford
Landscape,Aotearoa New Zealand,South Island,Milford,MILFORD SOUND,Piopiotahi,Milford_5.webp,Milford_5_1.webp,,,0R 0,,Milford
Landscape,Aotearoa New Zealand,South Island,Milford,MILFORD SOUND,Piopiotahi,Milford_6.webp,Milford_6_1.webp,,,0R 0,,Milford
Landscape,Aotearoa New Zealand,South Island,Milford,MILFORD SOUND,Piopiotahi,Milford_9.webp,Milford_9_1.webp,,,0R 0,,Milford
Landscape,Aotearoa New Zealand,South Island,Milford,MILFORD SOUND,Piopiotahi,Milford_10.webp,Milford_10_1.webp,,,0R 0,,Milford
